Date,Israeli_Lines_MWs,Gaza_Power_Plant_MWs,Egyptian_Lines_MWs,Total_daily_Supply_available_in_MWs,Overall_demand_in_MWs,Power_Cuts_hours_day_400mg,Temp
7/27/2017,70,65,0,135,450,7,33
7/28/2017,70,65,0,135,450,7,35
7/29/2017,70,65,0,135,450,7,35
7/30/2017,70,65,0,135,450,7,34
7/31/2017,70,65,0,135,450,7,32
8/1/2017,70,65,0,135,450,7,31
8/2/2017,70,65,0,135,450,7,32
8/3/2017,70,65,0,135,450,7,31
8/4/2017,70,65,0,135,450,7,33
8/5/2017,70,65,0,135,450,7,34
8/6/2017,70,65,0,135,450,7,35
8/7/2017,70,65,0,135,450,7,34
8/8/2017,70,65,0,135,450,7,35
8/9/2017,70,65,0,135,450,7,35
8/10/2017,70,65,0,135,450,7,36
8/11/2017,70,65,0,135,450,7,37
8/12/2017,70,43,0,113,450,6,36
8/13/2017,70,24,0,94,450,5,38
8/14/2017,70,24,0,94,450,5,36
8/15/2017,70,24,0,94,450,5,35
8/16/2017,70,24,0,94,450,5,36
8/17/2017,70,43,0,113,450,6,35
8/18/2017,70,43,0,113,450,6,33
8/19/2017,70,43,0,113,450,6,34
8/20/2017,70,43,0,113,450,6,34
8/21/2017,70,43,0,113,450,6,33
8/22/2017,70,43,0,113,450,6,32
8/23/2017,70,43,0,113,450,6,33
8/24/2017,70,43,0,113,450,6,34
8/25/2017,70,43,0,113,450,6,33
8/26/2017,70,65,0,135,450,7,32
8/27/2017,70,65,0,135,450,7,32
8/28/2017,70,65,0,135,450,7,34
8/29/2017,70,65,0,135,450,7,34
8/30/2017,70,65,0,135,450,7,32
8/31/2017,70,65,13,148,450,7,31
9/1/2017,70,65,13,148,450,7,33
9/2/2017,70,65,13,148,450,7,34
9/3/2017,70,65,13,148,450,7,34
9/4/2017,70,65,13,148,450,7,34
9/5/2017,70,67,13,150,450,8,33
9/6/2017,70,67,23,150,450,8,33
9/7/2017,70,67,0,137,450,7,32
9/8/2017,70,67,0,137,450,7,32
9/9/2017,70,67,0,137,450,7,33
9/10/2017,70,67,0,137,450,7,32
9/11/2017,70,67,23,160,450,8,33
9/12/2017,70,67,23,160,450,8,33
9/13/2017,70,67,23,160,450,8,32
9/14/2017,70,67,0,137,450,7,33
9/15/2017,70,23,0,93,450,4,32
9/16/2017,70,45,0,115,450,6,31
9/17/2017,70,67,23,160,450,8,31
9/18/2017,70,67,13,150,450,8,31
9/19/2017,70,67,4,141,450,7,31
9/20/2017,70,67,4,141,450,7,31
9/21/2017,70,45,0,115,450,6,30
9/22/2017,70,45,22,137,450,7,30
9/23/2017,70,46,22,138,450,7,30
9/24/2017,70,45,23,138,450,7,31
9/25/2017,70,45,14,129,450,6,30
9/26/2017,64,45,20,129,450,6,31
9/27/2017,63,45,24,132,450,7,31
9/28/2017,63,45,24,132,450,7,31
9/29/2017,63,45,24,132,450,7,30
9/30/2017,70,45,24,139,450,7,31
10/1/2017,70,45,24,139,450,7,32
10/2/2017,70,45,24,139,450,7,32
10/3/2017,63,50,0,113,450,6,31
10/4/2017,70,50,0,120,450,6,30
10/5/2017,70,46,8,124,450,6,30
10/6/2017,70,46,8,124,450,6,30
10/7/2017,70,46,0,116,450,6,29
10/8/2017,70,46,23,139,450,7,29
10/9/2017,70,46,23,139,450,7,29
10/10/2017,70,46,23,139,450,7,28
10/11/2017,70,23,23,116,450,6,28
10/12/2017,70,46,23,139,450,7,29
10/13/2017,70,46,23,139,450,7,28
10/14/2017,70,46,19,135,450,7,28
10/15/2017,70,46,19,135,450,7,28
10/16/2017,70,46,0,116,450,6,28
10/17/2017,70,50,0,120,450,6,29
10/18/2017,70,50,0,120,450,6,29
10/19/2017,70,50,0,120,450,6,28
10/20/2017,70,50,0,120,450,6,28
10/21/2017,70,50,0,120,450,6,30
10/22/2017,70,55,0,125,450,6,32
10/23/2017,70,55,0,125,450,6,32
10/24/2017,70,55,0,125,450,6,30
10/25/2017,70,55,0,125,450,6,26
10/26/2017,56,55,0,111,450,5,24
10/27/2017,70,50,0,120,450,6,25
10/28/2017,70,50,0,120,450,6,25
10/29/2017,70,50,0,120,450,6,27
10/30/2017,70,50,20,140,450,7,27
10/31/2017,70,50,20,140,450,7,28
11/1/2017,70,50,10,130,450,6,27
11/2/2017,70,50,20,140,450,7,26
11/3/2017,70,50,20,140,450,7,25
11/4/2017,70,50,20,140,450,7,25
11/5/2017,70,50,20,140,450,7,24
11/6/2017,70,50,23,143,450,7,23
11/7/2017,70,50,23,143,450,7,24
11/8/2017,70,50,0,120,450,6,24
11/9/2017,70,50,0,120,450,6,24
11/10/2017,70,50,23,143,450,7,24
11/11/2017,70,50,23,143,450,7,24
11/12/2017,70,45,0,115,450,6,24
11/13/2017,70,54,23,147,450,7,24
11/14/2017,70,54,23,147,450,7,23
11/15/2017,70,54,23,147,450,7,23
11/16/2017,70,54,23,147,450,7,24
11/17/2017,70,54,23,147,450,7,24
11/18/2017,70,54,23,147,450,7,24
11/19/2017,70,50,23,143,450,7,23
11/20/2017,70,50,23,143,450,7,22
11/21/2017,70,50,23,143,450,7,22
11/22/2017,70,50,20,140,450,7,22
11/23/2017,70,50,23,143,450,7,20
11/24/2017,70,50,0,120,450,6,20
11/25/2017,70,28,0,98,450,5,20
11/26/2017,70,58,0,128,450,6,20
11/27/2017,70,58,0,128,450,6,22
11/28/2017,70,57,0,127,450,6,24
11/29/2017,70,57,0,127,450,6,22
11/30/2017,70,56,0,126,450,6,22
12/1/2017,70,56,0,126,450,6,22
12/2/2017,70,56,0,126,450,6,21
12/3/2017,70,55,0,125,450,6,21
12/4/2017,70,55,0,125,450,6,21
12/5/2017,70,55,0,125,450,6,20
12/6/2017,70,56,0,126,450,6,18
12/7/2017,70,56,0,126,450,6,17
12/8/2017,70,56,0,126,450,6,18
12/9/2017,70,54,0,124,450,6,19
12/10/2017,70,54,0,124,450,6,20
12/11/2017,70,54,0,124,450,6,20
12/12/2017,70,25,0,95,450,5,19
12/13/2017,70,25,0,95,450,5,19
12/14/2017,70,25,0,95,450,5,19
12/15/2017,70,54,0,124,450,6,20
12/16/2017,70,54,0,124,450,6,21
12/17/2017,70,54,20,144,450,7,20
12/18/2017,63,60,4,127,450,6,20
12/19/2017,70,55,0,125,450,6,19
12/20/2017,68,55,4,127,450,6,17
12/21/2017,68,55,0,123,450,6,18
12/22/2017,70,55,14,139,450,7,18
12/23/2017,70,55,0,125,450,6,19
12/24/2017,70,55,0,125,450,6,20
12/25/2017,70,55,0,125,450,6,20
12/26/2017,70,55,14,139,450,7,20
12/27/2017,70,55,0,125,450,6,17
12/28/2017,70,55,14,139,450,7,16
12/29/2017,70,55,14,139,450,7,16
